Acq. time (s)=	10
Accumulations=	2
Range (cm-¹)=	400...1800
Windows=	1
Autofocus=	Off
AutoExposure=	Off
Spike filter=	Multiple accum.
Delay time (s)=	1
Binning=	1
Readout mode=	Signal
DeNoise=	Off
ICS correction=	Off
Dark correction=	Off
Inst. Process=	Off
Instrument=	XploRA
Detector=	Syncerity
Objective=	x100
Grating=	1800 gr/mm
Filter=	50%
Laser (nm)=	532 
Slit (µm)=	100 
Hole (µm)=	100 
Laser pol=	None
Raman pol=	None
Output=	Camera
StageXY=	Marzhauser
StageZ=	
X (µm)=	2396.5
Y (µm)=	-3374.7
Project=	RAM0282
Sample=	
Site=	
Title=	Rh-10-5-AgNp
Remark=	
Date=	03.10.2024 11:24
Acquired=	03.10.2024 11:24:56
300.313	335
301.556	332
302.798	336
304.04	330
305.282	325
306.523	337
307.764	331
309.004	325
310.245	317
311.485	317
312.724	330
313.964	324
315.203	324
316.442	326
317.68	328
318.919	313
320.156	315
321.394	320
322.631	320
323.867	329
325.105	305
326.341	307
327.577	318
328.812	325
330.048	312
331.282	310
332.517	326
333.752	307
334.985	312
336.219	301
337.452	305
338.686	290
339.918	323
341.151	310
342.383	336
343.614	335
344.846	347
346.077	336
347.308	314
348.539	321
349.769	308
350.999	308
352.229	304
353.458	298
354.687	301
355.916	306
357.144	298
358.372	303
359.599	303
360.827	308
362.054	295
363.281	287
364.507	302
365.734	289
366.959	286
368.185	297
369.41	295
370.635	281
371.859	285
373.084	285
374.307	267
375.531	289
376.754	271
377.977	280
379.2	268
380.423	261
381.645	265
382.866	257
384.088	262
385.309	295
386.53	280
387.75	279
388.97	288
390.19	264
391.409	264
392.629	264
393.848	281
395.066	256
396.285	270
397.502	274
398.72	249
399.937	254
401.155	265
402.371	280
403.588	289
404.804	273
406.02	291
407.235	295
408.45	259
409.665	272
410.879	263
412.094	281
413.308	274
414.521	280
415.735	287
416.947	293
418.16	280
419.373	265
420.584	278
421.796	281
423.007	284
424.219	288
425.43	279
426.639	287
427.85	272
429.06	284
430.269	292
431.479	289
432.687	296
433.896	299
435.104	282
436.312	292
437.52	290
438.727	288
439.934	297
441.141	303
442.347	293
443.553	284
444.759	282
445.964	305
447.17	299
448.374	279
449.579	291
450.783	274
451.987	285
453.19	290
454.394	274
455.597	273
456.8	280
458.001	289
459.204	303
460.405	291
461.607	298
462.808	293
464.008	300
465.209	290
466.409	283
467.609	289
468.808	287
470.008	289
471.207	306
472.405	311
473.604	278
474.801	287
476	292
477.197	300
478.393	297
479.59	286
480.786	286
481.983	295
483.179	297
484.374	283
485.57	301
486.764	292
487.959	283
489.153	306
490.346	303
491.541	299
492.734	328
493.927	328
495.119	331
496.312	344
497.504	332
498.696	352
499.887	340
501.078	366
502.269	361
503.46	337
504.65	333
505.839	318
507.029	331
508.219	317
509.408	327
510.596	321
511.784	320
512.972	337
514.161	321
515.347	308
516.535	309
517.721	333
518.908	322
520.094	316
521.28	314
522.466	309
523.651	317
524.835	322
526.02	311
527.205	309
528.388	314
529.572	326
530.755	305
531.939	301
533.122	304
534.304	299
535.486	310
536.668	301
537.849	314
539.031	314
540.212	302
541.392	299
542.573	296
543.752	319
544.933	294
546.112	303
547.291	315
548.469	296
549.648	303
550.826	293
552.004	303
553.182	293
554.358	292
555.536	298
556.712	299
557.889	299
559.064	287
560.24	284
561.415	281
562.59	289
563.765	279
564.94	281
566.114	297
567.287	302
568.461	298
569.634	293
570.807	287
571.98	292
573.152	275
574.325	294
575.496	271
576.667	274
577.838	270
579.009	274
580.18	273
581.349	259
582.519	264
583.689	279
584.858	271
586.027	282
587.196	278
588.364	282
589.532	281
590.7	274
591.866	264
593.034	283
594.201	263
595.367	274
