Acq. time (s)=	10
Accumulations=	2
Range (cm-¹)=	400...1800
Windows=	1
Autofocus=	Off
AutoExposure=	Off
Spike filter=	Multiple accum.
Delay time (s)=	1
Binning=	1
Readout mode=	Signal
DeNoise=	Off
ICS correction=	Off
Dark correction=	Off
Inst. Process=	Off
Instrument=	XploRA
Detector=	Syncerity
Objective=	x100
Grating=	1800 gr/mm
Filter=	50%
Laser (nm)=	532 
Slit (µm)=	100 
Hole (µm)=	100 
Laser pol=	None
Raman pol=	None
Output=	Camera
StageXY=	Marzhauser
StageZ=	
X (µm)=	2396.5
Y (µm)=	-3374.7
Project=	RAM0282
Sample=	
Site=	
Title=	Rh-10-5-AgNp
Remark=	
Date=	03.10.2024 11:24
Acquired=	03.10.2024 11:24:56
300.405	865
301.647	863
302.89	801
304.131	825
305.373	863
306.614	889
307.855	895
309.096	881
310.336	873
311.576	913
312.816	885
314.055	855
315.294	873
316.533	893
317.771	871
319.01	893
320.247	885
321.484	885
322.722	889
323.959	927
325.195	865
326.431	909
327.667	863
328.903	931
330.138	935
331.373	885
332.608	857
333.842	913
335.076	909
336.309	871
337.543	915
338.776	921
340.008	895
341.242	915
342.474	881
343.705	905
344.937	863
346.168	907
347.398	879
348.629	873
349.859	843
351.089	871
352.319	873
353.547	915
354.777	845
356.005	847
357.233	871
358.461	889
359.689	879
360.916	889
362.144	849
363.37	865
364.597	875
365.823	851
367.049	877
368.275	865
369.499	851
370.724	853
371.949	855
373.173	875
374.397	837
375.62	829
376.844	837
378.067	855
379.29	841
380.512	887
381.733	821
382.956	837
384.176	827
385.398	853
386.618	877
387.839	853
389.06	847
390.279	859
391.499	823
392.718	815
393.937	881
395.155	825
396.373	857
397.591	841
398.809	863
400.026	873
401.243	883
402.46	853
403.676	855
404.892	841
406.108	853
407.323	871
408.539	871
409.753	809
410.968	881
412.182	831
413.396	901
414.609	855
415.823	825
417.035	865
418.248	823
419.461	845
420.672	821
421.884	833
423.095	831
424.307	839
425.517	853
426.727	851
427.938	811
429.148	851
430.357	847
431.566	827
432.775	801
433.983	833
435.191	805
436.399	841
437.607	813
438.814	825
440.021	813
441.228	841
442.434	805
443.64	821
444.847	795
446.052	781
447.256	817
448.462	785
449.666	841
450.87	805
452.074	799
453.278	809
454.481	811
455.683	819
456.886	817
458.089	839
459.29	841
460.492	837
461.694	843
462.894	845
464.095	855
465.295	815
466.495	839
467.695	817
468.895	809
470.094	841
471.293	849
472.491	819
473.69	861
474.888	825
476.086	789
477.283	833
478.48	807
479.676	809
480.873	819
482.069	851
483.265	833
484.46	847
485.655	821
486.85	801
488.044	845
489.239	819
490.432	823
491.626	831
492.82	873
494.013	863
495.205	887
496.397	885
497.589	901
498.781	903
499.973	903
501.163	919
502.355	889
503.545	941
504.735	881
505.925	883
507.115	849
508.304	861
509.493	889
510.681	887
511.869	823
513.057	853
514.245	871
515.432	863
516.62	819
517.806	827
518.992	855
520.178	845
521.365	843
522.551	831
523.735	815
524.92	865
526.105	817
527.289	853
528.473	811
529.657	839
530.84	803
532.023	833
533.206	809
534.388	789
535.57	807
536.752	799
537.934	829
539.114	803
540.296	803
541.477	827
542.656	807
543.837	835
545.016	817
546.195	779
547.374	799
548.553	811
549.731	821
550.909	797
552.087	807
553.265	779
554.442	805
555.619	793
556.795	789
557.972	769
559.148	821
560.323	803
561.498	799
562.673	783
563.848	777
565.023	779
566.197	799
567.37	745
568.544	723
569.717	781
570.89	779
572.063	723
573.235	741
574.407	767
575.578	751
576.75	773
577.921	749
579.092	755
580.262	769
581.432	737
582.602	757
583.772	723
584.94	785
586.109	711
587.278	739
588.446	769
589.614	729
590.782	789
591.949	727
593.116	759
594.283	777
595.449	741
